"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2017S009230    ",2,"Eixample",6,"la Sagrada Família",161407,"Indústria","0119 0121","Dimecres","2017",11,"Novembre","8","11","Manca d'atenció a la conducció","Matí","430901.11 ","4584569.96","2.17214808021034","41.4078624963293"
"2017S006044    ",3,"Sants-Montjuïc",11,"el Poble-sec",114000,"Espanya","9999 9999","Dimarts","2017",7,"Juliol","11","22","No respectar distàncies","Nit","428963.08 ","4580901.67","2.14939372743539","41.3746544488084"
"2017S003885    ",3,"Sants-Montjuïc",11,"el Poble-sec",114000,"Espanya","9999 9999","Dimarts","2017",5,"Maig","2","17","Gir indegut o sense precaució","Tarda","428989.31 ","4580940.29","2.14970283289918","41.3750046031868"
"2017S000382    ",3,"Sants-Montjuïc",11,"el Poble-sec",213307,"Miramar","0051 0051","Diumenge","2017",1,"Gener","15","03","No respectar distàncies","Nit","430579.46 ","4580900.26","2.16872109890642","41.3747829298324"
"2017S005567    ",2,"Eixample",6,"la Sagrada Família",191204,"Mallorca","0417 0417","Dilluns","2017",6,"Juny","26","16","Gir indegut o sense precaució","Tarda","431277.27 ","4584186.43","2.17669175329274","41.4044404412733"
"2017S010218    ",2,"Eixample",6,"la Sagrada Família",144601,"Diagonal","0330 0330","Dissabte","2017",12,"Desembre","9","15","Desobeir semàfor","Tarda","431167.04 ","4583702.85","2.17542815357121","41.4000755508619"
"2017S001838    ",2,"Eixample",6,"la Sagrada Família",144601,"Diagonal","0330 0330","Dilluns","2017",3,"Març","6","14","No respectar distàncies","Tarda","429362.09 ","4580876.96","2.15416759716895","41.3744670465098"
"2017S006593    ",2,"Eixample",6,"la Sagrada Família",191204,"Mallorca","0384 0384","Divendres","2017",7,"Juliol","28","20","Gir indegut o sense precaució","Tarda","430980.02 ","4583895.78","2.17316904467955","41.4017971629205"
"2017S006488    ",2,"Eixample",6,"la Sagrada Família",191204,"Mallorca","0384 0384","Dimarts","2017",7,"Juliol","25","13","Desconegut","Matí","430980.02 ","4583895.78","2.17316904467955","41.4017971629205"
"2017S004819    ",2,"Eixample",6,"la Sagrada Família",225500,"Nàpols","0236 0236","Dijous","2017",6,"Juny","1","14","Desconegut","Tarda","430884.69 ","4583802.91","2.17203931045361","41.4009525162256"
"2017S003394    ",2,"Eixample",6,"la Sagrada Família",225500,"Nàpols","0236 0236","Divendres","2017",4,"Abril","14","12","Gir indegut o sense precaució","Matí","430884.69 ","4583802.91","2.17203931045361","41.4009525162256"
"2017S000202    ",2,"Eixample",6,"la Sagrada Família",225500,"Nàpols","0238 0242","Dilluns","2017",1,"Gener","9","19","Desconegut","Tarda","429917.58 ","4580725.8 ","2.16082710822808","41.3731542035442"
"2017S002285    ",2,"Eixample",6,"la Sagrada Família",178308,"Lepant","0364 0366","Dimecres","2017",3,"Març","22","09","Desconegut","Matí","429946.89 ","4580908.99","2.16115637439885","41.3748066938791"
